"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"424","13684",29,48,24,39.1,141,2.9,58,394.7,26,"WGS84",45.78694,12.24787,"E30","8","U112","8","mineral","ITALY"
"425","13685",10,27,63,93.1,288,6.4,22.2,189.5,38.5,"WGS84",45.86391,11.99327,"C10","8","U120","8","mineral","ITALY"
"426","13686",48,50,2,17.8,25,1.8,0,233.7,34,"WGS84",45.74218,12.60592,"B33","8","U111","8","mineral","ITALY"
"427","13687",28,59,12,60.1,275,4.9,269,278.5,38,"WGS84",45.92672,12.45982,"B16","8","U111","8","mineral","ITALY"
"428","13688",18,30,52,74.3,95,4.3,13.7,94.5,32.6,"WGS84",46.16712,12.16036,"C10","8","U120","8","mineral","ITALY"
"429","13689",34,58,9,51.8,4,3.9,0,130.3,37.1,"WGS84",46.16464,12.28914,"C30","8","U120","8","mineral","ITALY"
"430","13691",41,55,5,16.6,238,1.5,14.5,238.2,27.3,"WGS84",45.60192,12.49711,"B22","8","U111","8","mineral","ITALY"
"431","13692",26,55,19,51,376,4.3,16.1,161.6,27.8,"WGS84",46.04321,12.05199,"B16","8","U111","8","mineral","ITALY"
"432","13693",18,62,20,50.4,4,4.9,0,94.8,35.2,"WGS84",46.11216,12.20965,"E20","8","U111","8","mineral","ITALY"
"433","13694",3,19,78,63.5,467,1.2,0,31,6.2,"WGS84",46.16973,12.05679,"C10","8","U120","8","mineral","ITALY"
"434","13695",50,43,7,44.5,39,4.2,23.9,236.7,36.5,"WGS84",45.8545,12.45652,"E20","8","U111","8","mineral","ITALY"
"435","13696",29,56,16,24.2,121,2.1,164.4,475.6,21,"WGS84",45.89278,12.3553,"B82","E10","U111","8","mineral","ITALY"
"436","13697",13,47,40,29.6,410,1.2,10.1,61.8,12.3,"WGS84",45.94508,12.43483,"F00","8","U313","8","mineral","ITALY"
"437","13698",34,54,12,31.6,174,2.8,12,211.8,30.1,"WGS84",45.87532,12.32872,"E20","8","U111","8","mineral","ITALY"
"438","13699",30,62,8,23.6,380,1.3,0,155,19.7,"WGS84",45.686747,12.679853,"B33","8","U111","8","mineral","ITALY"
"439","13700",35,62,3,32.4,428,2.1,19.5,228.2,25.8,"WGS84",45.66758,12.7304,"B11","8","U111","8","mineral","ITALY"
"440","13701",10,47,43,44.8,442,3,77.2,300.5,14.9,"WGS84",45.67315,12.49973,"B75","E10","U111","8","mineral","ITALY"
"441","13703",18,69,13,12.4,264,1.3,24.3,257.9,17.1,"WGS84",45.40998,12.181108,"B11","8","U111","8","mineral","ITALY"
"442","13727",14,28,58,28.8,2,2.8,38.3,185.3,20.2,"WGS84",43.86057,10.78177,"B82","E10","U113","8","mineral","ITALY"
"443","13729",28,37,35,27.6,27,1.8,0,114.2,20.2,"WGS84",43.76949,10.87969,"C10","8","U120","8","mineral","ITALY"
"444","13730",25,50,26,4.5,126,0.9,0,90.6,19.2,"WGS84",43.77009,10.80535,"E20","8","U111","8","mineral","ITALY"
"445","13732",17,20,63,16.3,24,2.2,0,159.2,32.6,"WGS84",43.42159,11.34252,"D10","8","U111","8","mineral","ITALY"
"446","13733",30,31,39,4,3,0.8,0,96.4,19,"WGS84",43.2959,11.2904,"B16","8","U111","8","mineral","ITALY"
"447","13734",20,34,46,4.6,258,0.9,0,91.9,15.3,"WGS84",43.31199,11.43843,"B11","8","U111","8","mineral","ITALY"
"448","13738",9,31,59,5.5,1,1.1,33.9,64.3,7.8,"WGS84",43.78686,10.95437,"E10","8","U370","8","mineral","ITALY"
"449","13739",34,51,15,7.8,330,0.9,0,186.6,15.2,"WGS84",42.38697,14.17807,"B81","E30","U111","8","mineral","ITALY"
"450","13740",43,40,17,13.8,232,1.6,0,364,28.2,"WGS84",42.33792,14.05354,"B81","B55","U111","8","mineral","ITALY"
"451","13742",25,14,61,3.2,4,0.5,0,146.5,19.1,"WGS84",41.77645,12.38494,"E20","8","U111","8","mineral","ITALY"
